weight,height,gender,location,Physical Contact,play_type,chest_symptom,injury,disease,jumping,endurance,agility,preferred_sport
64,172,male,indoor,dislike,pair,no,yes,no,no,no,no,snooker or pool
57,168,female,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
65,160,female,indoor,dislike,solo,no,yes,no,yes,no,no,badminton
53,170,female,indoor,like,team,no,no,no,yes,yes,yes,badminton
57,177,male,outdoor,like,solo,no,no,no,yes,yes,yes,snooker or pool
56,163,female,indoor,dislike,pair,yes,no,no,yes,no,yes,badminton
55,174,male,outdoor,like,team,no,no,no,yes,yes,yes,football
66,185,male,indoor,like,solo,no,no,no,yes,yes,yes,badminton
47,155,female,indoor,dislike,solo,yes,no,no,no,no,yes,badminton
85,178,male,outdoor,like,team,yes,no,yes,yes,yes,yes,basketball
78,170,male,outdoor,like,team,no,yes,no,no,no,yes,football
65,176,male,outdoor,like,team,yes,no,no,yes,yes,yes,basketball
60,160,female,indoor,like,pair,no,no,no,no,no,no,snooker or pool
58,163,female,outdoor,dislike,team,no,no,no,yes,yes,yes,basketball
46,158,female,indoor,dislike,solo,no,no,no,yes,yes,yes,badminton
42,152,female,indoor,dislike,solo,no,no,no,yes,yes,yes,badminton
52,161,female,indoor,like,team,yes,no,no,yes,yes,yes,volleyball
49,153,female,indoor,dislike,pair,yes,no,no,no,no,no,badminton
52,175,female,outdoor,like,team,yes,no,no,yes,yes,yes,basketball
44,150,female,indoor,dislike,pair,yes,yes,no,no,no,no,badminton
50,157,female,indoor,dislike,solo,no,no,no,no,yes,no,badminton
91,170,male,indoor,like,solo,no,no,no,yes,no,yes,badminton
83,176,male,indoor,dislike,team,yes,yes,no,yes,no,yes,volleyball
77,177,male,indoor,dislike,team,yes,yes,yes,yes,yes,yes,volleyball
66,164,female,indoor,dislike,solo,yes,no,no,no,yes,yes,badminton
96,177,male,outdoor,dislike,team,no,no,no,yes,yes,yes,badminton
79,167,female,indoor,dislike,pair,yes,no,no,no,yes,yes,badminton
65,155,female,indoor,dislike,team,no,yes,no,yes,yes,yes,volleyball
57,167,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
67,173,male,indoor,dislike,team,yes,no,no,yes,yes,yes,volleyball
70,181,male,outdoor,like,team,no,no,no,no,yes,yes,football
64,184,male,indoor,like,pair,yes,yes,yes,yes,yes,yes,badminton
68,175,female,indoor,like,team,yes,yes,yes,yes,yes,no,basketball
90,170,female,indoor,dislike,team,no,yes,no,yes,no,yes,volleyball
56,157,female,outdoor,dislike,team,no,yes,no,no,yes,no,volleyball
84,160,female,indoor,dislike,solo,no,no,no,yes,yes,yes,badminton
65,175,male,outdoor,like,solo,no,no,no,yes,yes,yes,football
60,160,female,indoor,dislike,team,yes,yes,no,yes,yes,yes,volleyball
42,168,female,indoor,dislike,pair,no,no,no,no,no,yes,badminton
52,158,female,indoor,like,solo,no,no,no,no,no,no,badminton
71,178,male,outdoor,like,team,no,no,no,no,yes,yes,football
59,164,female,indoor,dislike,solo,yes,yes,yes,no,no,no,snooker or pool
54,165,male,indoor,dislike,team,yes,no,no,yes,yes,yes,volleyball
52,167,female,indoor,dislike,team,yes,no,no,no,no,no,badminton
53,171,male,outdoor,like,team,no,no,no,no,yes,yes,football
66,166,male,indoor,like,solo,yes,no,yes,no,no,no,snooker or pool
62,166,male,indoor,dislike,team,yes,yes,no,yes,yes,yes,volleyball
75,175,male,indoor,like,pair,yes,yes,no,yes,yes,yes,basketball
43,156,female,indoor,like,team,yes,no,no,yes,yes,yes,badminton
75,181,male,indoor,dislike,solo,yes,no,no,yes,no,no,badminton
70,167,female,indoor,dislike,team,yes,yes,no,yes,yes,yes,volleyball
67,172,male,outdoor,like,team,no,yes,no,yes,yes,yes,football
44,157,female,indoor,dislike,solo,yes,no,yes,no,no,no,snooker or pool
48,155,female,indoor,dislike,team,no,no,no,no,no,yes,badminton
53,159,female,indoor,dislike,team,yes,no,yes,no,no,no,badminton
43,158,female,indoor,dislike,team,no,no,no,yes,no,yes,football
54,171,male,outdoor,dislike,team,no,yes,no,no,yes,yes,football
55,161,female,outdoor,dislike,solo,no,yes,no,yes,yes,yes,badminton
80,175,male,outdoor,like,team,no,no,yes,yes,yes,yes,football
95,167,male,indoor,like,solo,yes,no,no,yes,no,no,basketball
60,157,female,indoor,like,pair,no,no,no,yes,no,yes,volleyball
72,184,male,outdoor,like,team,no,no,no,yes,yes,yes,basketball
49,155,female,indoor,dislike,team,no,no,no,yes,no,yes,volleyball
55,170,male,indoor,dislike,solo,no,no,no,yes,no,yes,badminton
44,156,female,indoor,dislike,pair,no,no,no,no,no,yes,badminton
76,180,male,indoor,dislike,team,yes,no,yes,yes,no,yes,basketball
60,160,female,indoor,dislike,team,yes,no,no,yes,yes,yes,volleyball
64,172,male,indoor,dislike,solo,yes,no,no,yes,no,yes,volleyball
80,183,male,outdoor,dislike,solo,no,no,no,yes,yes,yes,volleyball
62,166,male,indoor,dislike,team,no,yes,no,yes,no,yes,volleyball
62,169,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
72,172,male,indoor,dislike,team,yes,yes,no,yes,yes,yes,volleyball
62,170,male,indoor,dislike,team,no,yes,yes,yes,no,yes,volleyball
73,178,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
60,186,male,indoor,dislike,team,yes,no,no,yes,no,no,volleyball
64,168,male,indoor,dislike,team,yes,no,no,yes,yes,yes,volleyball
64,177,male,outdoor,like,team,no,no,no,no,yes,yes,football
57,171,male,outdoor,like,team,yes,no,no,no,no,yes,football
53,150,female,indoor,like,solo,no,no,no,no,yes,yes,snooker or pool
85,177,male,indoor,dislike,solo,yes,no,yes,no,no,no,snooker or pool
77,172,male,indoor,like,team,yes,yes,no,no,yes,yes,snooker or pool
68,178,male,indoor,dislike,team,no,yes,no,yes,yes,yes,volleyball
61,183,male,indoor,like,team,yes,yes,no,yes,yes,yes,volleyball
80,170,male,indoor,dislike,pair,yes,yes,yes,no,yes,no,snooker or pool
55,168,male,outdoor,like,team,no,yes,no,no,yes,yes,football
85,175,male,outdoor,like,team,yes,no,no,no,yes,yes,football
71,183,male,outdoor,like,team,no,no,no,yes,yes,yes,basketball
110,185,male,indoor,like,team,yes,yes,yes,yes,no,yes,basketball
55,167,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
71,173,male,indoor,dislike,team,yes,no,no,yes,yes,yes,volleyball
61,177,male,indoor,dislike,solo,yes,no,yes,no,no,no,snooker or pool
54,164,female,indoor,dislike,solo,no,no,no,no,no,yes,badminton
50,168,male,indoor,dislike,pair,yes,no,no,yes,no,yes,badminton
40,155,female,indoor,dislike,team,yes,yes,no,no,no,yes,football
66,172,male,outdoor,like,team,no,no,yes,yes,yes,yes,football
60,167,female,outdoor,like,team,no,yes,no,no,yes,yes,football
48,157,female,indoor,dislike,pair,yes,no,no,no,no,no,badminton
54,165,female,indoor,dislike,team,no,no,no,no,yes,yes,badminton
52,174,male,outdoor,like,team,no,no,no,yes,yes,yes,football
48,161,female,indoor,dislike,pair,yes,no,no,no,no,no,snooker or pool
65,180,male,indoor,dislike,team,no,no,no,yes,yes,yes,volleyball
72,178,male,outdoor,like,team,no,no,no,yes,yes,yes,football
71,181,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
55,167,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
49,166,female,indoor,dislike,pair,no,no,no,no,no,yes,badminton
57,170,female,indoor,like,team,no,no,no,yes,yes,yes,basketball
45,163,female,indoor,dislike,solo,yes,no,no,no,yes,no,snooker or pool
50,157,female,indoor,dislike,pair,no,no,no,no,no,yes,badminton
58,173,male,outdoor,like,team,no,no,no,no,yes,yes,football
85,180,male,outdoor,like,team,yes,no,yes,no,yes,yes,football
49,154,female,indoor,dislike,team,no,no,no,no,no,yes,badminton
50,157,female,indoor,dislike,solo,yes,no,no,no,no,no,badminton
58,160,female,indoor,like,team,yes,yes,no,yes,yes,yes,volleyball
70,170,male,indoor,like,pair,no,yes,no,yes,no,yes,badminton
95,174,male,indoor,dislike,solo,no,no,no,yes,yes,yes,badminton
50,158,female,indoor,dislike,pair,no,yes,no,yes,yes,no,volleyball
56,168,male,outdoor,like,team,no,no,no,yes,yes,yes,football
69,181,male,indoor,like,team,no,no,no,yes,yes,yes,basketball
88,177,male,indoor,dislike,solo,yes,yes,yes,no,no,no,snooker or pool
52,175,male,indoor,dislike,team,no,no,no,yes,no,yes,football
60,174,male,indoor,dislike,team,yes,no,no,yes,no,yes,badminton
48,163,female,indoor,dislike,solo,no,no,no,yes,yes,no,snooker or pool
90,170,male,outdoor,dislike,solo,no,no,yes,no,yes,yes,badminton
58,167,female,indoor,dislike,pair,no,no,no,yes,yes,yes,badminton
64,160,female,indoor,like,solo,no,no,no,no,no,yes,badminton
93,181,male,indoor,like,team,no,yes,no,yes,no,no,badminton
71,190,male,outdoor,like,team,no,no,no,no,yes,yes,football
59,170,male,indoor,dislike,solo,yes,no,yes,no,no,no,snooker or pool
